Gender;Age;Sauvignon Blanc;Rose;Chardonnay;Shiraz;Merlot;Cabernet;champagne;Viognier;Pinot Noir;semillon;chablis;Chenin Blanc;zinfandel;Chianti;burgundy;Riesling;pinot grigio
Male;25;4.1152;4.531;4.2097;3.8593;3.8212;3.7969;4.5073;2.9098;4.1091;3.9681;4.3233;3.6789;3.7212;3.1156;3.5916;3.9368;3.4398
Male;35;4.1421;4.4304;4.1805;3.8859;3.8614;3.8581;4.4463;3.2256;4.063;3.9519;4.276;3.5494;4.0424;3.1871;3.526;3.8596;3.429
Male;45;4.1687;4.3178;4.1506;3.9122;3.9009;3.9177;4.3808;3.521;4.0157;3.9356;4.2268;3.4008;4.4332;3.2577;3.4813;3.7217;3.4182
Male;55;4.1947;4.194;4.1203;3.9381;3.9396;3.9754;4.3108;3.7899;3.9673;3.9192;4.1756;3.2459;4.8558;3.3274;3.4561;3.5457;3.4074
Male;65;4.2203;4.06;4.0893;3.9636;3.9776;4.0315;4.2365;4.0304;3.9178;3.9027;4.1226;3.0979;5.2508;3.396;3.4483;3.44;3.3965
Female;25;4.5584;4.6479;4.6307;4.3127;4.1372;4.4016;4.7254;4.441;4.5948;3.9603;4.5564;3.7997;3.3663;4.2728;3.4547;3.9077;4.1245
Female;35;4.5382;4.5646;4.5612;4.3146;4.1921;4.3803;4.6684;4.4242;4.5377;4.0448;4.5204;3.7028;3.5603;4.3157;3.4743;3.8037;4.1164
Female;45;4.5174;4.4685;4.483;4.3166;4.2449;4.3585;4.6027;4.4071;4.4753;4.126;4.4824;3.5785;3.8307;4.3569;3.5045;3.6405;4.1082
Female;55;4.4958;4.3602;4.3961;4.3185;4.2958;4.3362;4.528;4.3897;4.4076;4.2037;4.4425;3.433;4.1802;4.3963;3.5429;3.4788;4.0999
Female;65;4.4737;4.2404;4.3007;4.3205;4.3446;4.3135;4.4442;4.372;4.335;4.2778;4.4005;3.2783;4.5887;4.4341;3.5866;3.459;4.0916
